,names,managers,addresses,types,urls,phones,被保険者数,登記注意事項,lat,lon
84,株式会社白哲,-,足立区舎人３丁目１５番１８号,-,-,-,,,35.813186,139.773673
85,株式会社六紋,-,足立区扇２丁目２０番１２号,-,-,-,4,,35.763224,139.765885
86,株式会社皓元国際商社,-,足立区江北７丁目３番１号,-,-,-,1,,35.780768,139.763566
87,シーエスファシリティーズ株式会社,-,足立区扇３丁目１６番１２号,-,-,-,,,35.770022,139.772176
88,ベラッコ株式会社,-,足立区本木西町１０番２号,-,-,-,2,,35.760305,139.779444
89,有限会社白倉工務店,-,足立区西綾瀬３丁目３３番１０号,建設,-,-,,,35.764148,139.816971
90,蓬莱大観光有限会社,-,足立区柳原２丁目２７番７号,-,-,-,,,35.748855,139.813804
91,有限会社ニチギン,津崎次年,足立区一ツ家３丁目５番１３−１０８号,商社,-,-,,,35.780196,139.813414
92,有限会社バキングエフ,-,足立区竹の塚６丁目１５番１２号,-,-,-,,,35.795695,139.792763
93,株式会社新建,-,足立区青井３丁目３６番４号,-,-,-,,,35.771768,139.819242
94,株式会社ヒラタ,-,足立区扇３丁目２番１号,-,-,-,0,,35.770022,139.772176
95,株式会社高橋法輪堂,-,足立区大谷田３丁目８番１２号,商社,-,-,1,,35.778755,139.841164
96,中央保険企画株式会社,-,足立区加賀１丁目２番５号,-,-,-,1,,35.788745,139.758953
97,株式会社エヌ・シー・エス,-,足立区梅田８丁目１４番２−６２６号,小売,-,-,2,,35.772921,139.795128
98,トラアークス株式会社,-,足立区東保木間２丁目３番５号,-,-,-,1,,35.792872,139.813541
101,株式会社ＲｅＢｉｒｔｈＰｌａｎ,池田光,足立区扇１丁目４５番１５号エトワール・フルール１０６,-,http://rebirthplan.co.jp/,-,,,35.762366,139.774261
102,株式会社ＦＴＡ,-,足立区六木１丁目４番１８号,-,-,-,5,,35.791125,139.837839
103,株式会社淘旅行,-,足立区舎人３丁目７−８−３０１,-,-,-,6,,35.813186,139.773673
104,石川工業株式会社,-,足立区扇２丁目１８番１７号,-,-,-,,,35.763224,139.765885
105,株式会社りんりんファーマシー,-,足立区青井２丁目３２番１２号,-,-,-,2,,35.772297,139.814732
106,株式会社ビバ,-,足立区南花畑３丁目３４番１１号,-,-,-,0,,35.792441,139.824996
107,三峰株式会社,-,足立区大谷田１丁目１９番１５号,-,-,-,1,,35.77854,139.846903
108,株式会社トゥ・シャイン,-,足立区竹の塚５丁目６番１１号高山ビル１Ｆ,-,-,-,1,,35.795687,139.796115
109,有限会社フレックス,-,足立区谷中１丁目１０番３−２０３号,-,-,-,,,35.77249,139.832129
110,有限会社ウエスト,-,足立区中川４丁目４３番３号,建設,-,-,,,35.771442,139.846681
111,有限会社ケーズクリーン東京,-,足立区入谷９丁目１６番１７号,-,-,-,6,,35.809011,139.754661
112,有限会社翼電気建設工業,山川博昭,足立区千住関屋町２３番８号,建設,-,03-3618-5957,4,,35.741334,139.806568
113,有限会社トム・テック,-,足立区西竹の塚１丁目１１番２号エミエルタワー竹ノ塚２００６,建設,-,-,2,,35.792027,139.788406
114,有限会社エスケービジネス,-,足立区中川３丁目８番３号ミュージックハウスＡ２１０,-,-,-,,,35.771376,139.854087
115,有限会社イシモリ,-,足立区花畑３丁目３３番７号,-,-,-,2,,35.803676,139.81266
