,事業所名,郵便番号,住所,代表者,従業員数,ツクリンクURL,Webサイト
101,松昇（株）,121-0011,東京都足立区中央本町４−１−１第一栄コーポ１Ｆ,松田 茂,40,https://tsukulink.net/tokyo/city_131211/828754,
102,株式会社暁,123-0842,東京都足立区栗原2-4-10,若月雄,6,https://tsukulink.net/tokyo/city_131211/801795,
103,株式会社ナカムラ,123-0872,東京都足立区江北3-29-4,,3,https://tsukulink.net/tokyo/city_131211/782407,
104,北村工業株式会社,123-0872,東京都足立区江北6-12-4　ssハイツ102号,北村 明賢,10,https://tsukulink.net/tokyo/city_131211/766258,
105,有限会社インテリア柿沢,123-0861,東京都足立区加賀２－１６－３,柿澤 啓二,40,https://tsukulink.net/tokyo/city_131211/264136,
106,advance,123-0841,東京都足立区西新井1-32-6,横山一樹,1,https://tsukulink.net/tokyo/city_131211/760864,
107,株式会社ＡＫＵＡ建装,123-0842,東京都足立区栗原4-16-15-206,横田,4,https://tsukulink.net/tokyo/city_131211/737862,
108,株式会社 政信,121-0061,東京都足立区花畑6-6-14,,11,https://tsukulink.net/tokyo/city_131211/733079,
109,株式会社M&Kテクノサービス,120-0015,東京都足立区足立2-31-8,黒澤輝樹,40,https://tsukulink.net/tokyo/city_131211/654801,
110,株式会社エアーメイク,121-0075,東京都足立区一ツ家3-19-4,,6,https://tsukulink.net/tokyo/city_131211/654024,
111,（株）アスピレーション,123-0864,東京都足立区鹿浜２−２３−１８,川久保,21,https://tsukulink.net/tokyo/city_131211/304247,
112,杉本興業株式会社,121-8504,東京都足立区島根1-2-3,杉本義幸,32,https://tsukulink.net/tokyo/city_131211/263526,
113,株式会社CHARME,121-0061,東京都足立区花畑,並木 幸里,40,https://tsukulink.net/tokyo/city_131211/874491,
114,リプロプラス株式会社,123-0843,東京都足立区西新井栄町3-11-1,佐藤 和己,40,https://tsukulink.net/tokyo/city_131211/867475,
115,高倉興業,,,高倉響乃助,40,https://tsukulink.net/tokyo/city_131211/822574,
116,KODAMA,123-0871,東京都足立区椿2-9-14-301,児玉,5,https://tsukulink.net/tokyo/city_131211/269510,
117,SRP,,,里 力丸,3,https://tsukulink.net/tokyo/city_131211/862454,
118,株式会社大沢空調,121-0062,東京都足立区南花畑4-5-2グロービル大沢201,大沢 潤平,40,https://tsukulink.net/tokyo/city_131211/820152,
119,合同会社THREE,120-0034,東京都足立区千住1-4-1東京芸術センター11F 1109,佐々木 達広,2,https://tsukulink.net/tokyo/city_131211/804232,
120,株式会社 正進工業,123-0864,東京都足立区鹿浜3-19-19ﾎﾘｳﾁBLD.3F,堀内 正紀,40,https://tsukulink.net/tokyo/city_131211/248762,
121,内田工業,,,内田 流星,2,https://tsukulink.net/tokyo/city_131211/743180,
122,株式会社A-LINE,121-0072,東京都足立区保塚町9-29,吉岡 朗,3,https://tsukulink.net/tokyo/city_131211/872146,
123,猿田彦合同会社,123-0862,東京都足立区皿沼2-12-1　204,森本智彦,10,https://tsukulink.net/tokyo/city_131211/798921,
124,（株）石井電気,120-0032,東京都足立区千住柳町１１−３,石井 勇人,7,https://tsukulink.net/tokyo/city_131211/744344,
125,株式会社 河野興業,121-0057,東京都足立区神明南1-17-14,河野 崇,25,https://tsukulink.net/tokyo/city_131211/261467,
126,スマイルホーム,120-0005,東京都足立区綾瀬2-11-4,長谷川清巳,40,https://tsukulink.net/tokyo/city_131211/245040,
127,（株）サンケイ電設,120-0034,東京都足立区千住１−２４−３小川ビル２階,小田 圭一,1,https://tsukulink.net/tokyo/city_131211/775222,
128,有限会社アイディケイ商会,123-0841,東京都足立区西新井６－３２－１,有限会社アイディケイ商会,5,https://tsukulink.net/tokyo/city_131211/826600,
129,株式会社伸巧ALC工業,121-0822,東京都足立区西竹の塚1-5-8,一条 和幸,22,https://tsukulink.net/tokyo/city_131211/753006,
130,株式会社協和パートナーズ,121-0061,東京都足立区花畑６−３８−２,,5,https://tsukulink.net/tokyo/city_131211/749467,
131,ユニバース（株）,121-0813,東京都足立区竹の塚３−１−２２,清水 美行,14,https://tsukulink.net/tokyo/city_131211/306022,
132,山口興業 株式会社,120-0036,東京都足立区千住仲町19-6-302,山口 勇太,7,https://tsukulink.net/tokyo/city_131211/268604,
133,楽心株式会社,120-0047,東京都足立区宮城１−９−１３　営業所件倉庫,小松 洋平,7,https://tsukulink.net/tokyo/city_131211/355,
134,株式会社イデアル,121-0813,東京都足立区竹の塚６丁目１番１２号第八丸本ビル２０１,,11,https://tsukulink.net/tokyo/city_131211/656670,
135,株式会社タイズ,121-0071,東京都足立区東六月町5-6,安部,2,https://tsukulink.net/tokyo/city_131211/246545,
136,有限会社 小倉塗装工業,121-0812,東京都足立区西保木間4-14-21-801,小倉 政雄,3,https://tsukulink.net/tokyo/city_131211/883297,
137,株式会社 KENSHIN,120-0005,東京都足立区綾瀬３−１５−１−４０２,渡辺 健人,12,https://tsukulink.net/tokyo/city_131211/656823,
138,ビルス株式会社,123-0873,東京都足立区扇,池田勝弘,5,https://tsukulink.net/tokyo/city_131211/836010,
139,株式会社 樋口物流サービス,123-0874,東京都足立区堀之内,樋口 修一朗,,https://tsukulink.net/tokyo/city_131211/867435,
140,株式会社 Jupiter,121-0072,東京都足立区保塚町,亀山 正孝,40,https://tsukulink.net/tokyo/city_131211/864379,
141,ひかり工業株式会社,120-0031,東京都足立区千住大川町38-7,石墳 光平,6,https://tsukulink.net/tokyo/city_131211/857897,
142,EBISU株式会社,120-0001,東京都足立区大谷田1-5-9,,1,https://tsukulink.net/tokyo/city_131211/832299,
143,ELホームズ,121-0812,東京都足立区西保木間2-18-28-502,佐藤直樹,5,https://tsukulink.net/tokyo/city_131211/811796,
144,カズクリーンサービス,121-0053,東京都足立区佐野2-23-6,椎橋和秀,1,https://tsukulink.net/tokyo/city_131211/755073,
145,内装 庄司,,,,2,https://tsukulink.net/tokyo/city_131211/754972,
146,Carpe diem  カルペ ディエム,123-0864,東京都足立区鹿浜4-6-10-102,吉河清人,3,https://tsukulink.net/tokyo/city_131211/656838,
147,ファクト建設工業,,,岡下雄一郎,2,https://tsukulink.net/tokyo/city_131211/652772,
148,株式会社ZERONE,1230841,東京都足立区西新井3-10-5,永田,4,https://tsukulink.net/tokyo/city_131211/261519,
149,ＲＥ・ＢＯＸ 株式会社,121-0064,東京都足立区保木間2-11-1,,40,https://tsukulink.net/tokyo/city_131211/260494,
150,ケーライト,1230844,東京都足立区興野1-7-17 コスモ西新井101,畑山 和春,4,https://tsukulink.net/tokyo/city_131211/247815,
151,（株）ワイスタイル,121-0063,東京都足立区東保木間２−４−１７,佐藤 雄二,14,https://tsukulink.net/tokyo/city_131211/836238,
152,電波屋株式会社,120-0034,東京都足立区千住1-4-1 東京芸術センタービル,阿部 浩光,16,https://tsukulink.net/tokyo/city_131211/820606,
153,（有）ウァートム,120-0004,東京都足立区東綾瀬２−５−４−１０１,荒川 政行,4,https://tsukulink.net/tokyo/city_131211/774845,
154,有限会社 尾上工業,121-0061,東京都足立区花畑1-23-19,尾上 光男,7,https://tsukulink.net/tokyo/city_131211/257786,
155,ディー・アソシエイト,120-0003,東京都足立区東和1-21-5,島崎 操,40,https://tsukulink.net/tokyo/city_131211/754399,
156,富士解体工業（株）,123-0843,東京都足立区西新井栄町２−８−２第一日建ビル２Ｆ,菅野 哲也,13,https://tsukulink.net/tokyo/city_131211/744850,
157,有限会社足立電化サービス,121-0052,東京都足立区六木３－１７－９,,5,https://tsukulink.net/tokyo/city_131211/269574,
158,ハヤブサグリーン,121-0815,東京都足立区島根2-22-10,,12,https://tsukulink.net/tokyo/city_131211/657656,
159,Diez,121-0831,東京都足立区舎人5-9-19 COCOZO103,十文字,5,https://tsukulink.net/tokyo/city_131211/785463,
