,事業所名,郵便番号,住所,代表者,従業員数,ツクリンクURL,Webサイト
1902,（有）アオイ空調,121-0062,東京都足立区南花畑２−８−３,高田 義男,40,https://tsukulink.net/tokyo/city_131211/420111,
1903,（株）二ノ宮製作所,121-0072,東京都足立区保塚町２−１５,二ノ宮 勝,40,https://tsukulink.net/tokyo/city_131211/420092,
1904,（株）日乃丸防水,123-0851,東京都足立区梅田７−２５−１３−１０８,西村 崇,40,https://tsukulink.net/tokyo/city_131211/420070,
1905,小島工業（株）,120-0005,東京都足立区綾瀬７−１−２３−１１０２,小島 祐二,40,https://tsukulink.net/tokyo/city_131211/420056,
1906,（有）増子水道工事店,121-0061,東京都足立区花畑１−５−２,増子 克巳,40,https://tsukulink.net/tokyo/city_131211/420047,
1907,（株）巧,123-0873,東京都足立区扇１−３０−１４,中村 正徳,40,https://tsukulink.net/tokyo/city_131211/420040,
1908,Ｆｕｃｏｍ．ＳＣ（株）,121-0831,東京都足立区舎人３−１４−１１,小林 篤,40,https://tsukulink.net/tokyo/city_131211/420033,
1909,（有）デザインスタジオ・レイズ,120-0037,東京都足立区千住河原町６−９,矢島 信五,40,https://tsukulink.net/tokyo/city_131211/420031,
1910,（有）エスエィチ,120-0034,東京都足立区千住４−１０−３−２０３,大渕 正雄,40,https://tsukulink.net/tokyo/city_131211/419927,
1911,（株）小針工務店,120-0003,東京都足立区東和４−２０−１８,小針 好次,40,https://tsukulink.net/tokyo/city_131211/419909,
1912,環建設（株）,121-0831,東京都足立区舎人３−１４−１,奥山 勝昭,40,https://tsukulink.net/tokyo/city_131211/419908,
1913,（有）塗茂,123-0864,東京都足立区鹿浜８−１４−１５,山崎 茂,40,https://tsukulink.net/tokyo/city_131211/419892,
1914,イズミ環境サービス（株）,121-0813,東京都足立区竹ノ塚１−３３−１,平山 昭夫,40,https://tsukulink.net/tokyo/city_131211/419855,
1915,（株）廣瀬商会,120-0043,東京都足立区千住宮元町２３−１,廣瀬 慶太郎,40,https://tsukulink.net/tokyo/city_131211/419810,
1916,（株）イデアデザインインターナショナル,120-0037,東京都足立区千住河原町２５−８,井出 幸成,40,https://tsukulink.net/tokyo/city_131211/419781,
1917,（有）伊藤商店,121-0831,東京都足立区舎人５−４−９,伊藤 哲也,40,https://tsukulink.net/tokyo/city_131211/419765,
1918,（株）ＫＡＺＵＮＡＲＩ,123-0844,東京都足立区興野２−１８−４,布施 平吉,40,https://tsukulink.net/tokyo/city_131211/419746,
1919,（株）エアーズ,121-0051,東京都足立区神明１−１２−６,小林 文武,40,https://tsukulink.net/tokyo/city_131211/419745,
1920,大翼電機（株）,123-0864,東京都足立区鹿浜６−２９−７,鈴木 翼,40,https://tsukulink.net/tokyo/city_131211/419738,
1921,（有）勇進,120-0047,東京都足立区宮城１−１９−１石崎ビル２０１,飯田 治,40,https://tsukulink.net/tokyo/city_131211/419736,
1922,（株）小室技建,123-0862,東京都足立区皿沼３−２３−１０,小室 滋,40,https://tsukulink.net/tokyo/city_131211/419725,
1923,（株）山口,123-0873,東京都足立区扇１−２８−６,山口 司,40,https://tsukulink.net/tokyo/city_131211/419707,
1924,（株）テナント建物,120-0005,東京都足立区綾瀬３−５−１８−１０２,八木 司,40,https://tsukulink.net/tokyo/city_131211/419682,
1925,（株）エコジック,121-0011,東京都足立区中央本町４−１７−２−１０７,松本 智恵,40,https://tsukulink.net/tokyo/city_131211/419644,
1926,（株）スズリュウ,120-0022,東京都足立区柳原２−２−１０,鈴木 竜一,40,https://tsukulink.net/tokyo/city_131211/419616,
1927,（株）内田緑化興業 東京営業所,121-0064,東京都足立区保木間４−３２−４−Ｂ−１０５,内田 香,40,https://tsukulink.net/tokyo/city_131211/417265,
1928,三和式ベンチレーター（株） 東京営業所,121-0064,東京都足立区保木間１−２８−１４,服部 聡始,40,https://tsukulink.net/tokyo/city_131211/417026,
1929,（有）吉岡組,123-0853,東京都足立区本木１−２３−１８斉藤コーポ１Ｆ,吉岡 心平,40,https://tsukulink.net/tokyo/city_131211/415431,
1930,（合）明伸通信,121-0836,東京都足立区入谷３−１０−１５,佐藤 明,40,https://tsukulink.net/tokyo/city_131211/415360,
1931,（株）アイリスガーデン,123-0872,東京都足立区江北６−２８−８,仁平 昌良,40,https://tsukulink.net/tokyo/city_131211/415313,
1932,相澤組（株）,121-0062,東京都足立区南花畑２−８−１４,相澤 英樹,40,https://tsukulink.net/tokyo/city_131211/415310,
1933,（株）ツーオーク,123-0872,東京都足立区江北１−７−９,土屋 馨,40,https://tsukulink.net/tokyo/city_131211/415306,
1934,（株）クリアー,121-0064,東京都足立区保木間５−１５−１９サンライトマンション３０３,中島 賢二,40,https://tsukulink.net/tokyo/city_131211/415256,
1935,（有）サトーネオン,123-0852,東京都足立区関原３−２９−４,佐藤 俊哉,40,https://tsukulink.net/tokyo/city_131211/415232,
1936,（株）カレント,123-0864,東京都足立区鹿浜１−１９−１２,佐藤 充,40,https://tsukulink.net/tokyo/city_131211/415189,
1937,（株）タニカワ,123-0853,東京都足立区本木１−１８−１,谷川 孝行,40,https://tsukulink.net/tokyo/city_131211/415165,
1938,足立建材（株）,121-0831,東京都足立区舎人１−２２−１５,民部 咲子,40,https://tsukulink.net/tokyo/city_131211/415144,
1939,（有）松村電機,123-0871,東京都足立区椿２−１０−１４,松村 忠文,40,https://tsukulink.net/tokyo/city_131211/415142,
1940,（株）英鈴,121-0063,東京都足立区東保木間２−２３−６,鈴木 英之,40,https://tsukulink.net/tokyo/city_131211/415119,
1941,（株）みらいコーポレーション,120-0005,東京都足立区綾瀬４−２４−１３,高野 貴代子,40,https://tsukulink.net/tokyo/city_131211/415100,
1942,（株）佐藤設備工業,123-0845,東京都足立区西新井本町２−８−１４セントラルマンション１Ｆ,佐藤 譲,40,https://tsukulink.net/tokyo/city_131211/415072,
1943,（株）ＫＫタニオカ,120-0004,東京都足立区東綾瀬２−１６−１６,谷岡 賢二,40,https://tsukulink.net/tokyo/city_131211/415068,
1944,英和工業（株）,121-0836,東京都足立区入谷９−１７−２６,和賀 寛,40,https://tsukulink.net/tokyo/city_131211/415067,
1945,（株）イシカワ,121-0075,東京都足立区一ツ家４−４−９,石川 忠,40,https://tsukulink.net/tokyo/city_131211/415040,
1946,（有）寿乃光発,123-0864,東京都足立区鹿浜６−３６−１８,平川 信司,40,https://tsukulink.net/tokyo/city_131211/415039,
1947,（株）田口建装,121-0815,東京都足立区島根４−３−１３,田口 恵,40,https://tsukulink.net/tokyo/city_131211/415033,
1948,（株）共栄興業,120-0041,東京都足立区千住元町３７−８北千住第２ダイヤモンドマンション１０６,伊藤 弘,40,https://tsukulink.net/tokyo/city_131211/415023,
1949,（株）古川工作所,123-0852,東京都足立区関原２−４７−１０,古川 大助,40,https://tsukulink.net/tokyo/city_131211/415013,
1950,ストッパー空調（株）,121-0075,東京都足立区一ツ家２−５−２１,古森 保典,40,https://tsukulink.net/tokyo/city_131211/415008,
1951,（株）エス・イー・キタムラ 東京営業所,120-0005,東京都足立区綾瀬２−３１−３５,北村 直樹,40,https://tsukulink.net/tokyo/city_131211/412446,
1952,（株）ゲットクリーンコート 東京営業所,121-0831,東京都足立区舎人３−９−１７,遠藤 豊道,40,https://tsukulink.net/tokyo/city_131211/412425,
1953,（株）オリバー ガイソー足立店,123-0864,東京都足立区鹿浜８−５−１０,小川 博司,40,https://tsukulink.net/tokyo/city_131211/412410,
1954,（株）雄山 東京事業所,121-0062,東京都足立区南花畑２−１０−４,林 健児,40,https://tsukulink.net/tokyo/city_131211/412400,
1955,鋼栄エンジニアリング（株） 東京営業所,121-0831,東京都足立区舎人２−２０−１３　平柳コーポ１０３,片桐 芳文,40,https://tsukulink.net/tokyo/city_131211/412017,
1956,（株）東伸工業,121-0012,東京都足立区青井４−１７−１３,佐々木 啓友,40,https://tsukulink.net/tokyo/city_131211/411977,
1957,（有）染谷電気,121-0063,東京都足立区東保木間１−９−９,染谷 俊久,40,https://tsukulink.net/tokyo/city_131211/411976,
1958,（有）汐川空調,123-0862,東京都足立区皿沼１−９−３,汐川 孝夫,40,https://tsukulink.net/tokyo/city_131211/411971,
1959,（株）日章電設,123-0841,東京都足立区西新井１−３４−２,佐久間 拓矢,40,https://tsukulink.net/tokyo/city_131211/411967,
1960,（有）大栄柳川工務店,120-0015,東京都足立区足立２−３７−１,柳川 富士雄,40,https://tsukulink.net/tokyo/city_131211/411959,
1961,（有）市原電工,121-0052,東京都足立区六木２−１−２２,金宗 亨,40,https://tsukulink.net/tokyo/city_131211/411955,
1962,協同サッシ工業（株）,121-0054,東京都足立区辰沼１−５−５,増尾 裕司,40,https://tsukulink.net/tokyo/city_131211/411954,
1963,（有）ヒロミ興業,121-0062,東京都足立区南花畑２−２２−１８,加藤 弘,40,https://tsukulink.net/tokyo/city_131211/411926,
1964,（株）創美,121-0813,東京都足立区竹の塚１−２２−１１,小林 昇,40,https://tsukulink.net/tokyo/city_131211/411913,
1965,久保木土建（株）,121-0051,東京都足立区神明２−７−１６,久保木 栄治,40,https://tsukulink.net/tokyo/city_131211/411907,
1966,（有）赤建商事,120-0014,東京都足立区西綾瀬３−３４−７,赤城 一男,40,https://tsukulink.net/tokyo/city_131211/411883,
1967,全日本自動ドアメンテナンス（株）,120-0044,東京都足立区千住緑町２−７−１,増谷 太郎,40,https://tsukulink.net/tokyo/city_131211/411870,
1968,（有）沖田電気商会,121-0061,東京都足立区花畑４−３８−５,沖田 克典,40,https://tsukulink.net/tokyo/city_131211/411834,
1969,大洋地下調査（株）,120-0014,東京都足立区西綾瀬４−３−１１,渡部 孝之,40,https://tsukulink.net/tokyo/city_131211/411830,
1970,横田造園（株）,121-0831,東京都足立区舎人１−１１−２０,横田 正実,40,https://tsukulink.net/tokyo/city_131211/411772,
1971,金子水道設備（株）,120-0001,東京都足立区大谷田４−１８−８−１０２,山部 照,40,https://tsukulink.net/tokyo/city_131211/411754,
1972,（株）造形美術,123-0874,東京都足立区堀之内１−１６−１２,日影 正和,40,https://tsukulink.net/tokyo/city_131211/411709,
1973,（株）大迫,120-0006,東京都足立区谷中２−１９−１６,大迫 正茂,40,https://tsukulink.net/tokyo/city_131211/411708,
1974,（株）岩田建築工務,121-0053,東京都足立区佐野２−３３−１２,岩田 和也,40,https://tsukulink.net/tokyo/city_131211/411694,
1975,（株）グラスワークブレイン,121-0836,東京都足立区入谷８ー６ー８,濱津 寿,40,https://tsukulink.net/tokyo/city_131211/411660,
1976,（有）マチヤマデンキメンテナンス,120-0003,東京都足立区東和４−２５−６,町山 辰一郎,40,https://tsukulink.net/tokyo/city_131211/411646,
1977,大成調査工事（株）,121-0836,東京都足立区入谷４−２０−８,川畑 恒二郎,40,https://tsukulink.net/tokyo/city_131211/411609,
1978,久保板金工業（株）,120-0035,東京都足立区千住中居町２５−８,久保 武治,40,https://tsukulink.net/tokyo/city_131211/411535,
1979,（株）広彩社,120-0043,東京都足立区千住宮元町１−４,一條 菊義,40,https://tsukulink.net/tokyo/city_131211/411533,
1980,大成鉄筋工業（株）,123-0865,東京都足立区新田３−１２−６,久我 郁夫,40,https://tsukulink.net/tokyo/city_131211/410981,
1981,（株）矢萩鉄工,121-0823,東京都足立区伊興３−８−９,矢萩 義夫,40,https://tsukulink.net/tokyo/city_131211/410962,
1982,帝國器材（株）,123-0872,東京都足立区江北２−４−２７,大原 和子,40,https://tsukulink.net/tokyo/city_131211/410934,
1983,（有）朝海製作所,121-0076,東京都足立区平野２−１−１２,朝海 龍治,40,https://tsukulink.net/tokyo/city_131211/410915,
1984,内田工業（株）,120-0021,東京都足立区日ノ出町２５−２,内田 豊,40,https://tsukulink.net/tokyo/city_131211/410881,
1985,松岡電業（株）,120-0015,東京都足立区足立４−４０−３レジデンスタワー五反野２０１,八重沢 吾朗,40,https://tsukulink.net/tokyo/city_131211/410878,
1986,（有）荒井工業所,120-0025,東京都足立区千住東２−１８−１７,新井 秀男,40,https://tsukulink.net/tokyo/city_131211/410870,
1987,（株）三田土木,121-0836,東京都足立区入谷８−３−４,池田 恵一,40,https://tsukulink.net/tokyo/city_131211/410861,
1988,（株）スズキホーム,120-0004,東京都足立区東綾瀬２−３−４,谷屋 正憲,40,https://tsukulink.net/tokyo/city_131211/410856,
1989,（有）磯野工務店,123-0865,東京都足立区新田１−３−４,磯野 愼一,40,https://tsukulink.net/tokyo/city_131211/410672,
1990,大壱工業（株）,123-0851,東京都足立区梅田５−２１−１２,山本 喜史,40,https://tsukulink.net/tokyo/city_131211/410584,
1991,（有）原清曠堂,120-0001,東京都足立区大谷田１−２６−２−１０１,原 幹一,40,https://tsukulink.net/tokyo/city_131211/410534,
1992,五建工業（株） 足立営業所,123-0873,東京都足立区扇２−１７−１１,木村 秀美,40,https://tsukulink.net/tokyo/city_131211/410172,
1993,（株）リンクコミューン,120-0002,東京都足立区中川５−１７−１０,関沢 一矢,40,https://tsukulink.net/tokyo/city_131211/405483,
1994,（株）タケウチＦＣＳ,123-0872,東京都足立区江北７−５−４,竹内 賢一,40,https://tsukulink.net/tokyo/city_131211/405478,
1995,（株）タルミ空調設備,121-0836,東京都足立区入谷３−９−９,垂見 光,40,https://tsukulink.net/tokyo/city_131211/405476,
1996,（株）ＣＩＭＡ,120-0001,東京都足立区大谷田４−１−２ライゼホビー０７,川島 圭介,40,https://tsukulink.net/tokyo/city_131211/405471,
1997,（株）飯田工業,123-0864,東京都足立区鹿浜１−１４−１,飯田 泰弘,40,https://tsukulink.net/tokyo/city_131211/405449,
1998,大同エコシステム（同）,120-0003,東京都足立区東和２−７−１ワコーレ亀有１０２,栗山 千尋,40,https://tsukulink.net/tokyo/city_131211/405446,
1999,（株）ｙ−ｐａｉｎｔ,121-0061,東京都足立区花畑１−１３−１２,山田 剛司,40,https://tsukulink.net/tokyo/city_131211/405434,
2000,クラフトマンシップ（株）,123-0841,東京都足立区西新井５−１４−１４,富沢 真太郎,40,https://tsukulink.net/tokyo/city_131211/405424,
2001,中嶋技建（株）,121-0801,東京都足立区東伊興３−２５−１４−９０１,中嶋 竜二,40,https://tsukulink.net/tokyo/city_131211/405416,
2002,（株）塩田電気,121-0062,東京都足立区南花畑３−１６−１２−３０５,塩田 昇,40,https://tsukulink.net/tokyo/city_131211/405415,
2003,（株）鈴村塗装,123-0873,東京都足立区扇３−１５−６,鈴村 彬,40,https://tsukulink.net/tokyo/city_131211/405382,
2004,（株）中根組,120-0006,東京都足立区谷中３−１８−９−１０１,中根 昭雄,40,https://tsukulink.net/tokyo/city_131211/405375,
2005,（株）手塚工業,121-0836,東京都足立区入谷３−１４−２０,手塚 良,40,https://tsukulink.net/tokyo/city_131211/405364,
2006,（株）副島設備,121-0815,東京都足立区島根４−２３−２１,副島 誠,40,https://tsukulink.net/tokyo/city_131211/405324,
2007,（株）アイモーション,121-0063,東京都足立区東保木間２−２４−１７,今井 郁雄,40,https://tsukulink.net/tokyo/city_131211/405235,
2008,光建興業（株）,123-0874,東京都足立区堀之内１−２−１１,上田 耕平,40,https://tsukulink.net/tokyo/city_131211/405191,
2009,エスケイプロ（株）,123-0862,東京都足立区皿沼２−１３−１３−１０３,眞榮城 町子,40,https://tsukulink.net/tokyo/city_131211/405158,
2010,（株）ハコリ,123-0873,東京都足立区扇３−１５−１３,加賀山 薫,40,https://tsukulink.net/tokyo/city_131211/405156,
2011,（株）砂川電工,121-0816,東京都足立区梅島２−４−２１,砂川 武三,40,https://tsukulink.net/tokyo/city_131211/405155,
2012,（株）豊電気,123-0851,東京都足立区梅田６−３−１０,糸田 豊,40,https://tsukulink.net/tokyo/city_131211/405135,
2013,（株）絆,121-0064,東京都足立区保木間１−１７−２,前田 裕介,40,https://tsukulink.net/tokyo/city_131211/405127,
2014,（株）岸山工業,121-0052,東京都足立区六木１−１７−１７リバーパーク運河２０４,岸山 正博,40,https://tsukulink.net/tokyo/city_131211/405118,
2015,（株）ネットワーカ,123-0872,東京都足立区江北２−１３−１３,奥田 学,40,https://tsukulink.net/tokyo/city_131211/405091,
2016,シーアクス（株）,123-0845,東京都足立区西新井本町３−１１−８福島コーポ１階１０１号室,齊藤 海志,40,https://tsukulink.net/tokyo/city_131211/405006,
2017,（有）山泰商会,121-0061,東京都足立区花畑６−２８−２９,山田 敏行,40,https://tsukulink.net/tokyo/city_131211/404997,
2018,（株）アガタ,121-0064,東京都足立区保木間３−２５−１２,田賀 俊行,40,https://tsukulink.net/tokyo/city_131211/404985,
2019,（有）皐月設備,120-0013,東京都足立区弘道２−１９−１７,田中 薫,40,https://tsukulink.net/tokyo/city_131211/404970,
2020,（株）ペインテック,123-0855,東京都足立区本木南町２６−１８−１０２,内田 敬司,40,https://tsukulink.net/tokyo/city_131211/404969,
2021,（株）澤目解体工業,121-0801,東京都足立区東伊興２−１２−１２,沢目 正也,40,https://tsukulink.net/tokyo/city_131211/404939,
2022,（株）マスタリーサービス,120-0001,東京都足立区大谷田３−４−１３,荒木 俊行,40,https://tsukulink.net/tokyo/city_131211/404910,
2023,リメイクカンパニー（株）,123-0872,東京都足立区江北６−１７−１４江北マンション店舗１階２号,鈴木 辰美,40,https://tsukulink.net/tokyo/city_131211/404897,
2024,進永工業（株）,121-0801,東京都足立区東伊興１−６−１８,館山 永寿,40,https://tsukulink.net/tokyo/city_131211/404891,
2025,（株）近藤工芸,121-0824,東京都足立区西伊興１−４−３,近藤 春雄,40,https://tsukulink.net/tokyo/city_131211/404873,
2026,（株）ＬＥＣ,120-0005,東京都足立区綾瀬６−６−１７,山田 輝,40,https://tsukulink.net/tokyo/city_131211/404835,
2027,（株）フジテック,121-0061,東京都足立区花畑２−１５−２,石山 淳一,40,https://tsukulink.net/tokyo/city_131211/404830,
2028,細田電機（株）,121-0831,東京都足立区舎人５−２−２３,細田 修次,40,https://tsukulink.net/tokyo/city_131211/404791,
2029,ＵＨ興業（株）,123-0841,東京都足立区西新井５−１０−７,三宅 邦弘,40,https://tsukulink.net/tokyo/city_131211/404773,
2030,（株）鳶石塚,121-0061,東京都足立区花畑２−１０−２５,石塚 清志,40,https://tsukulink.net/tokyo/city_131211/404751,
2031,（有）エスアイ工業,121-0062,東京都足立区南花畑３−１７−１６,飯塚 佐喜男,40,https://tsukulink.net/tokyo/city_131211/404750,
2032,昭和工業（株）,121-0831,東京都足立区舎人５−５−５,野村 正典,40,https://tsukulink.net/tokyo/city_131211/404710,
2033,（株）ケイテック,121-0062,東京都足立区南花畑２−２３−１４,塩谷 敬三,40,https://tsukulink.net/tokyo/city_131211/404631,
2034,山岡設備（株）,123-0872,東京都足立区江北４−２８−２２,山岡 貢,40,https://tsukulink.net/tokyo/city_131211/404623,
2035,（有）メイトク,121-0832,東京都足立区古千谷本町４−４−２１,神田 善啓,40,https://tsukulink.net/tokyo/city_131211/404599,
2036,（株）エフエープランニング,121-0055,東京都足立区加平３−４−７−３０５,今野 三美,40,https://tsukulink.net/tokyo/city_131211/404597,
2037,生島工業（株）,121-0054,東京都足立区辰沼１−８−１１,生島 章,40,https://tsukulink.net/tokyo/city_131211/404585,
2038,（有）アルファー,121-0813,東京都足立区竹の塚１−２５−２５,岡田 新一,40,https://tsukulink.net/tokyo/city_131211/404506,
2039,ミサワホームイング（株） 東京営業部,120-0035,東京都足立区千住中居町２８−５,阪口 博司,40,https://tsukulink.net/tokyo/city_131211/402861,
2040,（株）浜信工業 東京支社,121-0062,東京都足立区南花畑３−３５−６,濱野 光江,40,https://tsukulink.net/tokyo/city_131211/402854,
2041,（有）フォルミカ,121-0836,東京都足立区入谷４−１８−１０コーポシオハタ１０２号室,勝田 誉司,40,https://tsukulink.net/tokyo/city_131211/402467,
2042,（株）片平工業,123-0862,東京都足立区皿沼１−２−２,片平 新吾,40,https://tsukulink.net/tokyo/city_131211/402466,
2043,（株）インナーフォーム,121-0062,東京都足立区南花畑５−２−１９,荒瀬 貴三,40,https://tsukulink.net/tokyo/city_131211/402336,
2044,ノーチラス（有）,123-0864,東京都足立区鹿浜４−２６−１８,角田 哲雄,40,https://tsukulink.net/tokyo/city_131211/402309,
2045,（有）インテリアロード,121-0836,東京都足立区入谷２−２−１２,栗原 真一,40,https://tsukulink.net/tokyo/city_131211/402291,
2046,新井管材（株）,121-0071,東京都足立区東六月町５−２７,新井 弘,40,https://tsukulink.net/tokyo/city_131211/402268,
2047,（株）大坪,123-0853,東京都足立区本木１−９−７,大坪 伸二,40,https://tsukulink.net/tokyo/city_131211/402266,
2048,（株）ミヤハラ商運,123-0862,東京都足立区皿沼１−１２−１７,宮原 和隆,40,https://tsukulink.net/tokyo/city_131211/402254,
2049,（株）照井内装,123-0864,東京都足立区鹿浜２−１８−１５,照井 宏和,40,https://tsukulink.net/tokyo/city_131211/402248,
2050,（有）エムワイ工業,120-0013,東京都足立区弘道２−１３−２２,水野 成広,40,https://tsukulink.net/tokyo/city_131211/402212,
2051,（有）サツキデンキ,121-0831,東京都足立区舎人４−１０−４,大矢 隆之,40,https://tsukulink.net/tokyo/city_131211/402202,
2052,文昭電設工業（株）,121-0057,東京都足立区神明南１−９−１５,亀倉 滋,40,https://tsukulink.net/tokyo/city_131211/402177,
2053,（有）光和設備,123-0862,東京都足立区皿沼２−４−３−３０３,上村 光二,40,https://tsukulink.net/tokyo/city_131211/402169,
2054,みゆき建装（株）,121-0062,東京都足立区南花畑１−１７−１１,小柴 俊己,40,https://tsukulink.net/tokyo/city_131211/402160,
2055,シンメイプランニング（株）,123-0842,東京都足立区栗原３−２１−１１,山崎 伸,40,https://tsukulink.net/tokyo/city_131211/402158,
2056,（株）鈴木架設,120-0022,東京都足立区柳原１−２８−１０,鈴木 謙一郎,40,https://tsukulink.net/tokyo/city_131211/402138,
2057,（株）武林装工,123-0851,東京都足立区梅田７−１６−３,武林 和正,40,https://tsukulink.net/tokyo/city_131211/402103,
2058,（有）ファクトリースズキ,121-0051,東京都足立区神明２−８−１９,鈴木 裕一,40,https://tsukulink.net/tokyo/city_131211/402094,
2059,（株）ベイパーク,121-0056,東京都足立区北加平町１９−１２,近藤 敏夫,40,https://tsukulink.net/tokyo/city_131211/402084,
2060,（株）村井興業,123-0853,東京都足立区本木２−４−２１,村井 七成,40,https://tsukulink.net/tokyo/city_131211/402077,
2061,（有）エーブイ電設,121-0824,東京都足立区西伊興４−５−１４,鈴木 靖,40,https://tsukulink.net/tokyo/city_131211/402016,
2062,中澤エアテック（株）,123-0845,東京都足立区西新井本町２−５−３,中澤 次雄,40,https://tsukulink.net/tokyo/city_131211/402012,
2063,（株）登製作所,123-0865,東京都足立区新田１−１６−１５,登 利幸,40,https://tsukulink.net/tokyo/city_131211/402009,
2064,（有）伸工業,123-0851,東京都足立区梅田６−９−３−８０５,和田 功,40,https://tsukulink.net/tokyo/city_131211/402007,
2065,（有）井野石材,120-0005,東京都足立区綾瀬５−２４−１２,井野 猛,40,https://tsukulink.net/tokyo/city_131211/401994,
2066,（有）利建,123-0873,東京都足立区扇１ー２７ー１５,林 一郎,40,https://tsukulink.net/tokyo/city_131211/401485,
2067,（有）石建築,123-0851,東京都足立区梅田２−９−１,石川 正,40,https://tsukulink.net/tokyo/city_131211/401476,
2068,（株）千住鉄工所,121-0011,東京都足立区中央本町４−２４−８,小田嶋 保男,40,https://tsukulink.net/tokyo/city_131211/401475,
2069,（株）アルファ,120-0006,東京都足立区谷中２−１８−３,木村 秀明,40,https://tsukulink.net/tokyo/city_131211/401470,
2070,アキラ電設（株）,123-0872,東京都足立区江北７−２１−１９,駒場 重紀,40,https://tsukulink.net/tokyo/city_131211/401460,
2071,（有）守進建設,120-0015,東京都足立区足立１−１３−９,本多 守,40,https://tsukulink.net/tokyo/city_131211/401440,
2072,（株）フクダ,121-0061,東京都足立区花畑６−２−１４,福田 欣輔,40,https://tsukulink.net/tokyo/city_131211/401421,
2073,（有）渡辺塗装,123-0852,東京都足立区関原１−４−２０,渡邉 健司,40,https://tsukulink.net/tokyo/city_131211/401416,
2074,（株）ＫＯＹＡＭＡ,120-0044,東京都足立区千住緑町１−１５−１,小山 竜司,40,https://tsukulink.net/tokyo/city_131211/401396,
2075,（有）松喜商店,121-0061,東京都足立区花畑３−３３−７,松本 好生,40,https://tsukulink.net/tokyo/city_131211/401362,
2076,入澤工業（株）,121-0815,東京都足立区島根３−２７−２５,入澤 一郎,40,https://tsukulink.net/tokyo/city_131211/401326,
2077,（有）小林設備工業,123-0863,東京都足立区谷在家２ー１４ー１２,小林 重男,40,https://tsukulink.net/tokyo/city_131211/401311,
2078,（有）城東電気工事,121-0072,東京都足立区保塚町３−２２,品川 護,40,https://tsukulink.net/tokyo/city_131211/401309,
2079,（有）鳶銀,121-0056,東京都足立区北加平町８−１０,池田 和夫,40,https://tsukulink.net/tokyo/city_131211/401294,
2080,（有）遠藤組,120-0014,東京都足立区西綾瀬１−８−１８,遠藤 司郎,40,https://tsukulink.net/tokyo/city_131211/401292,
2081,（有）すずき鉄筋,121-0801,東京都足立区東伊興１−１−２０,鈴木 義信,40,https://tsukulink.net/tokyo/city_131211/401280,
2082,（有）三笠電気商会,121-0012,東京都足立区青井５−５−５,笠原 金三,40,https://tsukulink.net/tokyo/city_131211/401255,
2083,（有）大東美裝,120-0044,東京都足立区千住緑町２−１６−１８,鵜澤 秀行,40,https://tsukulink.net/tokyo/city_131211/401248,
2084,（有）矢貝塗装店,120-0006,東京都足立区谷中３−１６−１６,矢貝 智雄,40,https://tsukulink.net/tokyo/city_131211/401237,
2085,（有）水澤建設工業,123-0874,東京都足立区堀之内１−１４−６,水橋 孝明,40,https://tsukulink.net/tokyo/city_131211/401201,
2086,（有）渋谷組,121-0831,東京都足立区舎人２−９−３,渋谷 喜光,40,https://tsukulink.net/tokyo/city_131211/401181,
2087,（有）堀富建設,120-0001,東京都足立区大谷田４−３−１,堀内 國治,40,https://tsukulink.net/tokyo/city_131211/401180,
2088,トーア工業（有）,121-0012,東京都足立区青井６−２３−１０−５０４,宮澤 学,40,https://tsukulink.net/tokyo/city_131211/401179,
2089,（有）原田起業,121-0052,東京都足立区六木２−７−２０,原田 修一,40,https://tsukulink.net/tokyo/city_131211/401152,
2090,（有）マルヒロ前沢工務店,123-0841,東京都足立区西新井４−２６−３５,前澤 徳好,40,https://tsukulink.net/tokyo/city_131211/401129,
2091,トカチ産業（株）,121-0062,東京都足立区南花畑３−３５−１,阿部 美佐子,40,https://tsukulink.net/tokyo/city_131211/401111,
2092,（株）丸光國井建設,121-0801,東京都足立区東伊興２−３−９,國井 修二,40,https://tsukulink.net/tokyo/city_131211/401089,
2093,金子建設工業（株）,121-0801,東京都足立区東伊興２−２−１,金子 俊二,40,https://tsukulink.net/tokyo/city_131211/401086,
2094,（有）マルユ工業,120-0044,東京都足立区千住緑町２−３−６,立花 豊松,40,https://tsukulink.net/tokyo/city_131211/401059,
2095,（有）大平ホーム,123-0843,東京都足立区西新井栄町３−１０−９,大塚 一郎,40,https://tsukulink.net/tokyo/city_131211/401044,
2096,（有）恒榮装備,121-0073,東京都足立区六町１−７−２２,森山 禎紀,40,https://tsukulink.net/tokyo/city_131211/401038,
2097,下川建設（株）,123-0873,東京都足立区扇２−１３−１５,下川 朗,40,https://tsukulink.net/tokyo/city_131211/401034,
2098,（有）石原畳店,123-0843,東京都足立区西新井栄町１−６−１６,石原 喜一,40,https://tsukulink.net/tokyo/city_131211/401024,
2099,（有）川田電工,121-0056,東京都足立区北加平町２０−２,川田 昌孝,40,https://tsukulink.net/tokyo/city_131211/400995,
2100,（有）アルクスタジオ,123-0864,東京都足立区鹿浜６−２２−１４,西村 正人,40,https://tsukulink.net/tokyo/city_131211/400470,
2101,（株）ベーシック,123-0872,東京都足立区江北１−５−２１,松舘 哲也,40,https://tsukulink.net/tokyo/city_131211/400441,
